,ZCTA5CE10,INTPTLAT10,INTPTLON10
352,95834,+38.6352119,-121.5186075
353,95835,+38.6706486,-121.5259826
354,95837,+38.6937650,-121.5989406
355,95838,+38.6457235,-121.4452544
356,95841,+38.6603703,-121.3473936
357,95842,+38.6867807,-121.3491664
358,95843,+38.7154633,-121.3634220
359,95864,+38.5840466,-121.3758456
360,95901,+39.2239387,-121.4940499
361,95903,+39.1060986,-121.3681796
362,95910,+39.4911263,-120.8172323
363,95912,+39.0167022,-122.0621433
364,95914,+39.4468370,-121.3704320
365,95915,+40.0499370,-121.3115424
366,37351,+35.1002851,-085.2603629
367,37352,+35.2775203,-086.3530268
368,33597,+28.5455315,-082.0805317
369,37353,+35.1150099,-084.9890965
370,33598,+27.6934231,-082.2846591
371,37354,+35.5065544,-084.3476092
372,33602,+27.9535304,-082.4571128
373,33603,+27.9856178,-082.4644389
374,37355,+35.4997867,-086.0838331
375,33604,+28.0171543,-082.4553503
376,37356,+35.2288775,-085.8236940
377,37357,+35.5852879,-085.9173400
378,37359,+35.2042001,-086.4128769
379,37360,+35.4375776,-086.2543283
380,37361,+35.1014711,-084.6866446
381,53526,+42.9740968,-090.3436433
382,61842,+40.2387744,-088.6652200
383,53527,+43.0513571,-089.1922572
384,61843,+40.3172413,-088.3739027
385,53528,+43.1183001,-089.6380136
386,53529,+43.2425580,-089.5146905
387,61844,+40.1429666,-087.8692075
388,61845,+40.3736206,-088.3968137
389,53530,+42.6938294,-090.1058843
390,61846,+39.9772517,-087.6075376
391,53531,+43.0621883,-089.1024269
392,61847,+40.3192929,-088.0112592
393,61848,+40.3080604,-087.7027714
394,61849,+40.0142263,-087.9673702
395,61850,+39.9310081,-087.7385813
396,61851,+39.9608198,-088.4347242
397,53532,+43.2497390,-089.3267127
398,61852,+39.9031522,-088.0757988
399,61853,+40.2150586,-088.4211751
400,53533,+42.9968187,-090.1623223
401,61854,+40.1998724,-088.5293281
402,61855,+39.9221387,-088.6609290
403,53534,+42.8608232,-089.0933096
404,61856,+40.0267619,-088.5801176
405,61857,+40.1165745,-087.8422213
406,53536,+42.7612331,-089.2678618
407,02536,+41.5962934,-070.5674704
408,02537,+41.7284214,-070.4358105
409,02538,+41.7773631,-070.6422276
410,02539,+41.3776550,-070.5220800
411,02540,+41.5738915,-070.6320419
412,02542,+41.7078392,-070.5455195
413,02543,+41.4789740,-070.7669110
414,02553,+41.7125265,-070.6207473
415,02554,+41.2910715,-070.0933285
416,02556,+41.6394465,-070.6245154
417,02557,+41.4417130,-070.5761430
418,02558,+41.7450170,-070.6535130
419,02559,+41.6902429,-070.6162831
420,02561,+41.7667368,-070.5405950
421,02562,+41.7872087,-070.5267169
422,02563,+41.7281369,-070.4765487
423,02564,+41.2719402,-069.9844731
424,75137,+32.6432116,-096.9164680
425,75140,+32.6354790,-095.6864021
426,75141,+32.6373325,-096.6976088
427,75142,+32.5681628,-096.2502144
428,75143,+32.3645785,-096.2449873
429,75144,+32.1083877,-096.2079546
430,75146,+32.5645182,-096.7522222
431,75147,+32.4366759,-096.0795577
432,75148,+32.1246469,-096.0257902
433,75149,+32.7733689,-096.6188105
434,75150,+32.8173991,-096.6304156
435,75152,+32.4398710,-096.6780508
436,75153,+32.1582606,-096.3296311
437,75154,+32.5242594,-096.8090687
438,75155,+32.2291128,-096.4755085
439,75156,+32.2779228,-096.1052866
440,75157,+32.4641843,-096.4393353
441,70464,+30.5511949,-089.9190077
442,75158,+32.4625944,-096.4023425
443,70465,+30.8562587,-090.5239299
444,80476,+39.6706285,-105.8343433
445,80477,+40.4863910,-106.8293537
446,80478,+40.0290015,-105.8528131
447,70466,+30.5687142,-090.5007611
448,80479,+40.0359116,-106.8144972
449,75159,+32.6045182,-096.5435562
450,70471,+30.4070384,-090.0634214
451,80480,+40.6728876,-106.3415656
452,80481,+40.1014108,-105.5767641
453,75160,+32.7584080,-096.3013232
454,80482,+39.8923412,-105.7859710
455,80483,+40.0917979,-106.9359802
456,70501,+30.2418322,-091.9910394
457,42044,+36.9575816,-088.2632026
458,48506,+43.0674720,-083.6243923
459,42045,+37.0639931,-088.2630968
460,42047,+37.2950415,-088.3993524
461,42048,+36.7657052,-088.2285820
462,42049,+36.5211380,-088.3337561
463,48507,+42.9669740,-083.7173603
464,42050,+36.5554213,-089.2192742
465,42051,+36.8507281,-088.6471737
466,48509,+43.0239407,-083.6047157
467,48519,+42.9819062,-083.6049431
468,48529,+42.9703379,-083.6585901
469,42053,+37.1126477,-088.8778228
470,42054,+36.7144539,-088.4334566
471,48532,+43.0110682,-083.7948753
472,48551,+42.9810137,-083.7169225
473,48553,+42.9778478,-083.7235464
474,48554,+42.9758777,-083.7907421
475,27201,+36.0341723,-079.4848287
476,27203,+35.7284639,-079.7865270
477,27205,+35.6382587,-079.8508662
478,27207,+35.6076129,-079.3905175
479,27208,+35.5632305,-079.5429277
480,27209,+35.3429989,-079.7532911
481,27212,+36.4809670,-079.2798562
482,27214,+36.2060550,-079.6711260
483,27215,+36.0271285,-079.4918211
484,27217,+36.1909450,-079.3801853
485,27229,+35.2656322,-079.7757333
486,27231,+36.2077199,-079.1694201
487,27233,+35.8925121,-079.7049800
488,27235,+36.0920281,-080.0114425
489,27239,+35.6012291,-080.0902800
490,27242,+35.3296566,-079.6489549
491,27243,+36.0669164,-079.1981478
492,27244,+36.2153772,-079.4863698
493,27248,+35.7832957,-079.7163307
494,27249,+36.1541407,-079.5823894
495,27252,+35.5666138,-079.3497583
496,27253,+35.9661659,-079.3473611
497,27258,+36.0900248,-079.3858175
498,27260,+35.9544670,-079.9878820
499,27262,+35.9631296,-080.0416675
500,27263,+35.9115216,-079.9367987
501,27265,+36.0123051,-080.0309493
502,27278,+36.0901953,-079.0869286
503,27281,+35.1874423,-079.6251154
504,27282,+35.9889567,-079.9282820
505,27283,+35.9514740,-079.6354182
506,27284,+36.1193332,-080.0773421
507,27288,+36.4976449,-079.7500154
508,27291,+36.4183159,-079.1684283
509,27292,+35.7383250,-080.2075465
510,27295,+35.8717669,-080.3101798
511,27298,+35.8851152,-079.5675454
512,27299,+35.7523237,-080.3861487
513,27301,+36.1135101,-079.6656557
514,27302,+36.1419282,-079.2661997
515,43529,+41.1876004,-083.7816164
516,43531,+41.6350441,-084.4956661
517,43532,+41.4504965,-083.9749671
518,43533,+41.6918907,-084.0815534
519,43534,+41.3496110,-083.9269810
520,43535,+41.3072797,-084.0220343
521,43536,+41.3097940,-084.6328946
522,43537,+41.5748229,-083.6866224
523,43540,+41.6928458,-083.9280254
524,43541,+41.3007553,-083.8295360
525,43542,+41.5667188,-083.7650354
526,43543,+41.6064888,-084.6453462
527,43545,+41.3908454,-084.1271692
528,43547,+41.4921602,-083.8763158
529,43548,+41.1853343,-084.1751158
530,43549,+41.3693137,-084.5311437
531,43551,+41.5179514,-083.5720038
532,43553,+41.5312274,-084.2288363
533,43554,+41.6584214,-084.5634914
534,43555,+41.4341293,-084.2543219
535,43556,+41.3033043,-084.5637286
536,43557,+41.4873978,-084.3924820
537,43558,+41.5939716,-083.8786533
538,43560,+41.7005907,-083.7388518
539,43565,+41.4199707,-083.7401071
540,43566,+41.4927597,-083.7532057
541,43567,+41.5803451,-084.1610652
542,84401,+41.2120121,-112.0345641
543,73145,+35.4190900,-097.3940380
544,73149,+35.3894094,-097.4893275
545,71960,+34.4903385,-093.7113668
546,73150,+35.4012377,-097.3298758
547,73151,+35.5716864,-097.4165392
548,71961,+34.6003154,-093.8383599
549,84403,+41.2149764,-111.8896076
550,71962,+34.0361950,-093.3227452
551,71964,+34.4241338,-093.2407307
552,73159,+35.3878548,-097.5788345
553,71965,+34.6704847,-093.7465710
554,71968,+34.5241714,-093.2904959
555,71969,+34.6692421,-093.6292099
556,71970,+34.6689345,-093.4891540
557,71971,+34.3043130,-094.0347143
558,71972,+34.3828911,-094.2768624
559,73160,+35.3324382,-097.4752173
560,71973,+34.3018838,-094.3190400
561,71998,+34.1263845,-093.0552858
562,71999,+34.1274583,-093.0590669
563,84404,+41.2695194,-112.1176581
564,72001,+35.0583297,-092.8858596
565,73162,+35.5820109,-097.6409283
566,94508,+38.5766179,-122.4443883
567,94509,+37.9965006,-121.8123009
568,94510,+38.0980706,-122.1359397
569,94511,+38.0316571,-121.6448782
570,94512,+38.1348519,-121.8341563
571,94513,+37.9222276,-121.6683590
572,94514,+37.8263717,-121.6225460
573,94515,+38.6348225,-122.6150507
574,94516,+37.8339014,-122.1650340
575,94517,+37.8971234,-121.8768587
576,94518,+37.9503685,-122.0220469
577,94519,+37.9884486,-122.0129681
578,94520,+37.9955268,-122.0410121
579,94521,+37.9560116,-121.9561921
580,94523,+37.9541635,-122.0757723
581,94525,+38.0529515,-122.2320944
582,94526,+37.8146133,-121.9905515
583,94528,+37.8456012,-121.9506119
584,94530,+37.9215603,-122.2983360
585,94531,+37.9657655,-121.7758195
586,94533,+38.2807448,-122.0063799
587,94534,+38.2445476,-122.1350876
588,94535,+38.2822211,-121.9247148
589,94536,+37.5705083,-121.9812503
590,94538,+37.5013676,-121.9567530
591,94539,+37.5168980,-121.9117496
592,94541,+37.6739447,-122.0848208
593,48819,+42.5473958,-084.2809939
594,39571,+30.4200665,-089.2750429
595,42461,+37.7973972,-087.8892159
596,39572,+30.2508263,-089.6048035
597,42462,+37.7439816,-087.8017184
598,42463,+37.4726196,-087.8694519
599,48820,+42.8639131,-084.5922960
600,42464,+37.1812528,-087.3561589
601,48821,+42.6411710,-084.6474172
602,48822,+42.8352789,-084.7631278
603,39573,+30.7309966,-089.0933975
604,42501,+37.0561927,-084.4509023
605,39574,+30.6101324,-089.0917665
606,48823,+42.7640570,-084.4599215
607,48825,+42.7276040,-084.4814203
608,39576,+30.2898102,-089.3833914
609,42503,+37.1649600,-084.5193992
610,42516,+37.2221537,-084.7860314
611,42518,+36.9423696,-084.6326462
612,48827,+42.5093186,-084.6604397
613,42519,+36.9553066,-084.5350398
614,39577,+30.9047292,-089.0864880
615,48829,+43.3982054,-085.0153780
616,42528,+37.1818017,-085.0233680
617,42533,+37.0721946,-084.5923547
618,48831,+43.0962252,-084.3724725
619,48832,+43.4118826,-084.7765816
620,39581,+30.3571008,-088.4893234
621,48834,+43.1325854,-085.0321140
622,42539,+37.3090818,-084.9509784
623,42541,+37.3588837,-084.7943428
624,48835,+43.0249034,-084.7490569
625,48836,+42.6693193,-084.0765833
626,42544,+37.0299484,-084.8151249
627,42553,+37.1562375,-084.6975837
628,42565,+37.1589756,-084.8892762
629,95916,+39.6655389,-121.3519555
630,95917,+39.4096859,-121.7566527
631,95918,+39.3012294,-121.3379292
632,95919,+39.4328816,-121.2611427
633,95920,+39.4497945,-121.9363724
634,95922,+39.4881817,-121.0657969
635,95923,+40.1380490,-121.1272240
636,95925,+39.4841083,-121.1926490
637,95926,+39.7456276,-121.8438342
638,95928,+39.6857096,-121.8440838
639,95930,+39.5468871,-121.1762149
640,95932,+39.2664692,-121.9786035
641,95934,+40.0600999,-120.9079574
642,95935,+39.3793437,-121.1922610
643,95936,+39.6053832,-120.8110130
644,95937,+38.8852443,-121.9990391
645,95938,+39.6047133,-121.7952880
646,95939,+39.5719825,-122.5808268
647,95941,+39.5163492,-121.2508171
648,95942,+40.0194500,-121.5666350
